semester,cgpa,attendance,average_marks,highest_marks,lowest_marks,target
2,5.38,58.83,58.35,66.3,42.12,High
4,8.48,78.25,84.89,85.39,74.4,Low
3,6.4,82.1,80.89,82.67,72.99,Moderate
3,7.19,100.0,87.81,97.72,70.9,Low
6,8.16,63.78,87.93,100.0,85.13,Low
4,6.71,85.6,73.93,81.24,66.05,Moderate
7,7.3,63.82,80.77,93.12,72.48,Moderate
2,5.6,72.71,63.65,72.48,56.99,High
3,8.18,77.04,74.98,86.2,64.63,Moderate
3,8.63,83.71,86.34,88.78,73.24,Low
2,8.27,76.72,85.99,92.63,75.46,Low
3,9.07,82.08,73.75,80.41,64.25,Low
4,5.44,74.13,53.89,59.25,44.05,High
8,5.69,79.29,54.88,62.66,39.84,High
4,7.64,79.96,78.22,82.89,64.8,Moderate
4,8.33,80.94,83.34,90.47,69.97,Low
1,5.14,65.95,57.67,62.83,52.34,High
7,7.38,92.74,74.98,83.37,69.9,Low
5,10.0,100.0,94.79,100.0,90.33,Low
5,7.96,77.07,79.03,85.91,72.78,Moderate
4,8.14,83.41,77.0,89.92,61.98,Low
3,7.41,61.65,67.6,78.92,59.99,High
8,6.99,59.67,73.97,83.62,65.34,High
8,4.24,88.49,61.91,75.12,55.47,High
6,5.76,80.46,74.64,81.6,69.8,Moderate
1,7.9,76.19,56.8,70.98,50.77,Moderate
4,6.95,64.97,71.1,84.88,69.52,High
5,7.96,95.58,78.57,93.75,67.46,Low
6,6.56,76.76,65.67,75.0,60.57,Moderate
7,8.01,91.75,93.52,100.0,81.94,Low
6,7.02,74.05,79.19,84.12,59.29,Moderate
7,7.64,82.25,91.49,100.0,80.67,Low
7,7.56,69.04,67.12,76.08,59.54,Moderate
4,6.72,83.93,63.17,71.23,52.14,Moderate
3,8.59,61.74,69.48,76.09,52.96,Moderate
2,7.04,71.17,70.73,79.86,68.79,Moderate
1,7.27,65.2,76.28,88.35,68.25,Moderate
6,9.69,98.83,98.0,100.0,86.26,Low
5,7.71,86.41,73.47,84.7,66.42,Low
5,6.44,66.67,73.65,73.74,65.62,High
6,8.36,85.28,93.49,100.0,87.01,Low
7,9.01,92.15,87.72,95.56,78.56,Low
1,7.35,69.15,68.54,79.25,55.52,High
8,9.67,75.99,98.0,100.0,89.07,Low
5,8.35,100.0,93.8,98.28,81.37,Low
7,5.81,75.89,59.12,70.32,53.54,High
1,10.0,84.5,98.0,100.0,84.45,Low
5,9.43,75.28,82.71,91.0,75.45,Low
7,6.41,82.52,74.3,81.4,66.4,Moderate
7,6.77,76.6,70.35,82.04,64.59,Moderate
5,8.54,92.93,83.42,88.3,77.53,Low
7,7.95,84.15,79.85,89.23,67.85,Moderate
5,6.55,74.62,55.58,63.9,49.79,High
4,8.95,81.01,85.99,94.37,74.0,Low
6,8.69,100.0,90.03,97.83,80.13,Low
4,10.0,70.52,96.65,100.0,90.71,Low
1,8.76,88.3,86.1,90.55,74.33,Low
4,5.92,100.0,56.94,60.63,50.19,Moderate
2,5.61,72.42,65.27,74.08,50.6,High
7,8.3,71.24,97.11,100.0,88.9,Low
4,10.0,100.0,98.0,100.0,89.35,Low
3,8.86,100.0,79.9,85.63,71.9,Low
2,8.31,75.93,64.96,67.17,46.32,Moderate
6,7.48,84.87,75.08,87.41,66.29,Low
4,7.45,89.28,87.14,100.0,80.19,Low
8,6.87,100.0,79.53,86.2,74.2,Low
7,10.0,100.0,94.54,99.25,85.09,Low
7,9.08,83.74,98.0,100.0,95.0,Low
7,9.46,73.02,85.17,90.88,69.5,Low
2,6.45,92.26,76.54,85.17,63.97,Moderate
3,4.42,64.67,42.05,47.59,34.08,High
8,5.6,82.94,59.72,72.39,47.73,High
6,8.42,72.14,87.41,88.87,79.11,Low
7,8.31,100.0,77.79,79.19,72.99,Low
4,7.83,84.75,85.59,95.84,75.78,Low
6,7.7,67.21,62.79,73.78,51.81,Moderate
6,6.68,68.78,64.67,77.54,55.32,High
1,9.33,68.16,88.72,97.36,75.21,Low
1,7.16,92.98,77.38,86.19,61.22,Moderate
8,8.21,100.0,88.24,97.69,71.06,Low
4,8.93,82.35,89.69,100.0,82.06,Low
4,6.37,75.19,58.21,61.84,47.14,High
3,8.88,100.0,88.65,94.18,81.54,Low
2,6.39,65.71,63.87,65.49,46.58,High
5,7.85,97.82,80.47,84.43,67.8,Low
5,6.56,78.34,73.02,81.81,61.59,Moderate
7,9.43,96.95,75.54,82.92,69.2,Low
7,6.27,93.44,59.32,71.86,54.78,Moderate
3,6.97,97.7,79.74,83.38,68.79,Moderate
5,8.72,83.98,98.0,100.0,87.82,Low
1,8.56,97.61,89.66,100.0,79.83,Low
5,7.32,97.96,72.02,81.84,67.09,Moderate
1,9.25,95.06,87.59,100.0,78.23,Low
3,7.74,97.59,76.86,85.0,68.58,Low
7,8.76,79.28,79.29,89.75,65.03,Low
7,7.65,87.55,84.0,84.01,82.06,Low
6,6.32,68.36,59.26,66.22,45.61,High
2,8.12,88.71,93.87,97.13,89.25,Low
4,6.13,80.4,60.09,66.92,54.26,High
6,7.82,92.88,84.03,87.13,79.84,Low
1,5.69,82.09,53.59,56.05,43.72,High
4,8.24,86.26,73.27,83.02,55.99,Moderate
6,5.67,92.71,64.31,72.05,54.94,Moderate
1,7.33,92.53,76.73,83.8,67.6,Moderate
6,7.5,87.07,86.28,96.5,76.78,Moderate
8,6.72,66.51,78.09,90.37,71.06,Moderate
6,6.64,67.12,63.1,71.58,54.45,High
4,5.76,73.05,54.09,59.87,48.82,High
3,7.75,86.16,77.44,86.53,66.61,Moderate
2,8.93,92.73,91.31,94.07,72.02,Low
3,6.98,55.22,66.05,73.52,56.4,High
7,7.73,65.38,62.95,70.94,50.87,High
8,4.78,66.43,45.11,52.86,37.68,High
3,6.76,85.98,80.64,89.0,78.83,Moderate
8,6.86,81.98,63.29,71.02,53.61,Moderate
3,7.3,79.35,72.63,81.36,66.16,Moderate
7,8.23,84.3,74.58,77.57,65.93,Moderate
3,7.55,74.86,76.04,87.62,70.42,Moderate
8,6.29,80.47,57.25,64.7,50.75,High
5,7.73,75.98,86.22,98.37,79.71,Low
3,7.05,92.07,78.73,85.28,72.56,Moderate
5,6.35,89.37,60.43,71.79,57.11,Moderate
6,7.05,72.08,72.23,79.37,59.44,Moderate
1,8.67,70.7,78.39,79.63,65.92,Moderate
7,6.27,61.58,69.19,71.35,60.2,High
7,6.42,91.92,62.51,71.2,47.06,Moderate
6,6.54,77.49,59.59,60.59,45.85,High
8,7.3,75.34,77.22,78.09,70.75,Moderate
4,6.94,88.93,68.13,73.96,61.35,Moderate
4,8.41,86.06,86.39,94.59,78.26,Low
3,7.37,81.94,76.6,93.44,69.97,Moderate
4,9.65,92.81,97.89,100.0,89.85,Low
1,6.05,56.45,65.25,79.41,55.14,High
4,10.0,88.9,86.99,96.1,75.6,Low
3,7.55,84.56,91.08,97.92,85.85,Low
3,6.54,60.38,59.97,68.65,46.13,High
6,10.0,82.14,84.63,96.19,75.55,Low
4,8.39,88.11,82.02,93.85,77.63,Low
3,6.24,71.05,67.34,71.5,54.72,Moderate
8,7.37,50.11,61.3,65.3,52.74,High
8,8.2,100.0,95.2,99.41,87.14,Low
6,8.48,82.62,82.52,96.12,73.18,Moderate
4,7.02,100.0,62.24,80.66,46.79,Moderate
7,8.84,84.52,86.9,95.12,73.54,Low
5,7.92,78.27,75.38,86.32,67.86,Moderate
5,6.95,78.4,67.42,78.96,57.64,Moderate
3,7.62,100.0,90.65,100.0,85.86,Low
1,7.63,75.56,70.36,74.06,62.23,Moderate
6,5.99,61.42,67.94,70.49,56.44,High
6,7.83,76.51,70.76,80.95,53.56,Moderate
8,8.3,91.24,84.22,91.09,78.08,Low
7,6.65,82.46,83.45,89.11,71.04,Low
7,9.87,88.51,96.79,100.0,82.5,Low
6,8.15,100.0,78.09,84.34,69.96,Low
2,7.76,99.31,87.75,100.0,82.25,Low
5,7.91,59.09,76.47,81.33,64.77,Moderate
4,6.68,77.31,66.65,73.91,48.89,Moderate
5,7.46,100.0,74.27,83.88,65.8,Moderate
4,8.99,87.06,90.2,95.53,77.93,Low
6,7.43,82.42,83.0,92.73,70.48,Moderate
8,6.73,100.0,71.66,84.39,50.08,Moderate
4,9.06,85.27,80.05,92.14,71.69,Low
8,6.57,70.76,62.19,67.54,47.75,High
5,8.44,93.99,72.84,81.58,67.08,Low
2,6.45,77.8,69.87,83.86,62.13,Moderate
7,8.01,100.0,88.65,100.0,80.5,Low
2,8.75,93.49,94.77,100.0,86.55,Low
1,7.46,80.77,61.65,76.39,60.02,High
6,7.0,70.56,69.35,77.97,60.27,Moderate
2,6.72,66.96,66.13,73.07,59.28,High
4,8.48,88.7,94.7,99.28,87.68,Low
5,7.4,75.16,68.4,82.44,59.54,Moderate
1,6.76,92.2,76.51,78.01,68.65,Moderate
8,7.18,92.2,71.74,81.46,57.7,Moderate
6,8.06,85.28,83.27,89.43,77.71,Low
7,5.76,77.73,65.16,75.61,45.41,High
3,7.53,100.0,80.37,93.57,67.28,Low
4,7.79,76.17,85.84,88.58,70.69,Low
7,7.54,92.41,76.56,83.62,65.69,Moderate
7,7.65,84.65,83.87,90.13,80.88,Low
4,5.46,73.93,52.48,60.66,40.98,High
3,7.55,100.0,85.47,96.1,76.34,Low
4,7.2,87.08,66.84,75.97,50.21,Moderate
1,8.42,81.99,91.79,98.91,72.41,Low
4,6.9,82.59,67.89,73.23,61.52,Moderate
7,6.8,68.16,71.74,85.52,57.53,Moderate
3,7.66,87.53,81.06,83.03,72.02,Low
6,7.62,77.61,74.48,88.36,63.8,Moderate
6,7.22,50.0,69.66,79.07,60.6,High
1,8.57,81.65,83.78,85.02,77.73,Low
5,6.86,76.9,68.8,70.05,61.74,High
1,6.07,70.99,68.89,78.55,57.32,High
6,7.93,68.74,64.7,73.88,56.33,Moderate
2,9.16,100.0,98.0,100.0,87.8,Low
6,5.95,70.76,59.53,66.95,53.58,High
6,8.37,100.0,93.12,100.0,86.24,Low
8,9.14,77.28,78.19,89.76,67.8,Low
8,8.24,69.36,71.69,73.31,60.86,Moderate
1,5.28,58.94,63.27,71.35,54.15,High
1,9.47,100.0,90.64,96.69,89.9,Low
8,4.12,80.77,57.75,72.03,48.88,High
6,8.22,84.99,81.08,90.87,67.59,Low
8,9.86,93.95,96.06,96.69,92.13,Low
4,6.81,67.15,59.06,69.69,45.22,High
7,8.29,91.33,87.48,98.29,83.31,Low
7,7.56,100.0,69.91,82.43,67.58,Moderate
5,8.65,84.97,88.7,98.16,76.13,Low
3,7.71,64.36,72.88,78.12,59.25,Moderate
2,9.74,97.75,98.0,100.0,90.0,Low
1,6.55,74.86,64.68,74.9,58.76,Moderate
7,8.69,63.21,89.47,100.0,80.86,Low
5,7.96,60.78,71.66,80.88,60.78,Moderate
2,7.73,79.25,79.64,81.44,68.72,Moderate
1,7.67,84.41,85.45,94.17,71.87,Low
8,7.42,84.86,78.29,78.81,71.8,Moderate
3,7.7,100.0,74.08,79.92,61.6,Moderate
4,7.74,72.96,70.74,81.01,67.32,Moderate
6,8.91,100.0,90.51,100.0,80.52,Low
6,6.05,100.0,62.85,76.74,53.61,Moderate
2,8.2,100.0,82.6,96.13,73.7,Low
7,5.79,66.76,45.75,60.57,42.39,High
3,7.1,82.6,70.5,84.56,62.32,Moderate
7,10.0,100.0,98.0,100.0,90.79,Low
7,8.03,90.06,85.38,92.4,72.53,Low
4,8.75,100.0,96.33,100.0,94.85,Low
6,6.09,64.94,64.84,67.98,50.89,High
1,8.56,88.69,75.97,86.42,70.53,Low
3,6.39,96.91,70.65,82.06,65.15,Moderate
3,8.55,80.42,82.83,91.88,76.93,Low
5,6.86,69.89,81.33,84.03,72.33,Moderate
5,6.33,54.69,49.86,58.01,41.57,High
1,6.09,76.15,53.75,57.61,37.74,High
5,7.27,86.23,74.19,74.76,58.49,Moderate
8,7.01,98.85,83.52,97.48,67.72,Low
1,9.03,95.1,92.92,100.0,84.61,Low
7,8.79,76.91,92.12,100.0,84.15,Low
4,7.86,92.98,76.43,77.13,73.3,Low
4,7.85,92.51,75.34,80.02,64.16,Low
2,9.05,74.43,91.17,96.19,68.19,Low
7,7.87,96.64,93.6,100.0,89.71,Low
4,7.31,94.85,82.29,94.84,79.84,Low
3,7.57,70.45,67.01,78.28,59.83,High
1,7.89,100.0,87.02,97.11,79.5,Low
8,4.79,83.78,44.38,58.39,31.3,High
7,5.4,53.57,50.28,51.63,35.94,High
7,9.3,71.13,96.4,100.0,83.05,Low
1,5.54,71.26,54.0,68.13,43.59,High
2,9.75,87.17,96.7,100.0,91.66,Low
2,6.11,91.76,70.84,73.1,55.56,Moderate
7,7.81,91.58,93.99,100.0,83.4,Low
8,9.04,79.67,86.94,92.93,79.81,Low
2,6.49,81.77,76.45,84.51,71.74,Moderate
6,5.02,72.29,55.77,63.5,40.65,High
5,5.31,92.24,56.22,59.31,40.82,High
1,6.18,77.29,67.11,70.7,57.53,High
6,6.77,93.57,76.35,86.86,65.67,Moderate
3,7.16,54.64,75.62,82.25,65.93,High
6,8.37,100.0,85.02,98.27,76.01,Low
1,9.5,62.32,97.42,100.0,93.1,Low
5,7.66,97.49,72.72,83.49,60.96,Low
1,8.76,76.76,96.29,100.0,89.27,Low
3,10.0,96.23,98.0,100.0,80.96,Low
3,6.88,78.42,76.91,84.38,63.28,Moderate
2,8.05,65.29,68.64,81.59,62.22,Moderate
2,7.5,81.34,73.41,81.2,61.6,Moderate
4,7.67,75.47,72.24,82.77,57.69,Moderate
4,7.93,67.09,75.11,82.68,69.89,Moderate
4,7.19,77.04,65.83,80.53,60.53,Moderate
1,6.67,65.25,65.93,71.07,62.44,High
7,6.16,74.07,72.63,78.08,69.47,Moderate
1,8.11,100.0,84.76,92.94,78.02,Low
7,7.7,63.96,73.1,88.19,60.99,High
4,8.23,75.61,79.75,88.58,67.4,Moderate
2,8.63,97.81,86.05,92.16,76.88,Low
3,6.27,60.67,62.06,72.55,50.26,High
2,8.42,96.53,81.06,87.45,71.46,Low
5,7.89,83.05,76.46,85.81,68.67,Low
5,7.85,92.22,84.58,94.44,74.67,Low
6,6.83,80.71,77.01,82.99,68.07,Moderate
5,7.23,66.19,66.27,85.24,62.08,High
3,8.68,77.32,85.34,89.79,77.78,Low
3,7.41,95.35,76.64,87.52,70.42,Low
3,7.86,58.47,94.43,100.0,88.03,Moderate
1,8.86,64.7,72.17,79.84,62.99,Moderate
2,7.77,86.2,66.42,70.3,58.34,Moderate
4,6.6,81.2,82.5,91.58,74.9,Moderate
8,8.05,68.74,74.35,77.46,65.32,Moderate
4,10.0,91.89,98.0,100.0,89.26,Low
7,6.29,68.55,59.88,73.08,53.09,High
2,8.63,65.14,74.37,80.17,65.82,Moderate
1,5.28,94.94,77.03,86.12,65.73,Moderate
3,8.98,98.96,86.35,95.73,73.42,Low
1,9.03,95.78,81.14,87.9,79.1,Low
4,6.42,78.31,62.06,71.39,50.63,Moderate
2,7.2,80.33,78.27,78.8,69.95,Moderate
6,9.0,98.28,88.89,92.06,78.22,Low
2,5.21,91.95,52.91,62.17,50.47,High
4,7.11,91.11,76.22,84.18,69.99,Low
2,6.23,68.85,48.27,56.14,45.35,High
1,6.62,98.91,76.66,85.95,67.67,Moderate
8,5.19,86.24,63.46,71.19,51.76,High
6,6.03,69.96,56.68,60.01,51.4,High
6,7.55,83.31,67.48,72.96,54.14,Moderate
6,6.83,86.75,64.53,73.81,56.46,Moderate
8,6.92,88.75,64.02,69.27,51.53,Moderate
5,8.1,100.0,79.34,90.15,64.9,Low
2,9.49,93.48,98.0,100.0,84.19,Low
5,7.64,80.23,79.75,79.94,73.57,Low
3,4.0,50.0,42.14,50.43,34.73,High
7,6.69,84.5,73.54,81.56,60.22,Moderate
6,8.87,85.84,92.45,100.0,83.57,Low
7,6.36,75.21,71.76,82.46,59.16,High
1,9.85,89.95,97.3,99.57,85.45,Low
8,5.4,72.96,51.78,66.88,47.86,High
8,8.22,75.45,73.64,85.13,64.95,Moderate
6,7.6,88.93,94.19,100.0,84.09,Low
3,6.85,90.82,84.64,95.2,73.57,Low
5,6.79,91.11,65.64,79.44,53.83,Moderate
2,7.82,85.34,80.38,89.67,66.29,Moderate
6,8.67,98.52,84.66,91.96,73.37,Low
5,7.19,65.57,85.69,93.4,73.29,Moderate
4,8.92,94.98,81.34,98.73,70.13,Low
8,8.02,84.4,86.83,97.26,83.47,Low
8,8.55,76.3,72.37,84.51,69.3,Moderate
3,8.3,79.65,86.29,95.19,83.72,Low
1,8.71,96.57,87.4,93.39,77.27,Low
1,7.96,73.37,72.19,72.88,66.76,Moderate
4,7.2,84.21,62.31,68.73,43.9,Moderate
8,7.1,61.84,72.23,73.54,62.47,High
1,7.84,100.0,87.03,98.08,76.17,Low
5,7.49,73.79,78.15,88.11,61.13,Moderate
8,7.0,90.62,73.51,78.25,63.84,Moderate
7,6.88,70.1,69.83,70.33,59.19,High
2,9.47,100.0,85.92,95.72,75.67,Low
5,8.76,89.39,81.11,85.33,76.37,Low
3,7.77,86.27,82.02,83.01,72.8,Low
3,7.69,50.0,61.98,66.49,48.4,High
4,7.88,100.0,80.8,88.85,69.95,Low
1,7.57,85.66,65.48,76.43,55.31,Moderate
8,7.49,83.38,72.88,75.24,61.88,Moderate
4,8.94,74.16,84.37,92.18,83.59,Low
4,5.77,65.98,68.28,82.12,58.39,High
8,9.12,88.79,89.19,97.07,80.82,Low
1,7.82,88.52,76.87,86.39,66.99,Low
3,7.88,76.44,86.83,95.24,69.69,Low
5,7.56,67.46,68.44,69.55,60.15,Moderate
5,7.67,95.11,74.78,88.4,59.81,Low
7,7.81,86.03,80.78,91.08,64.69,Moderate
8,7.28,85.27,66.97,75.56,48.64,Moderate
3,7.32,70.71,73.62,85.64,64.5,Moderate
8,7.72,67.5,68.13,77.48,58.03,Moderate
3,8.63,100.0,77.6,79.86,71.23,Low
8,7.57,82.93,82.83,88.98,77.37,Low
7,6.7,81.95,58.59,65.53,53.34,High
2,6.52,74.45,63.03,72.11,55.0,High
5,6.91,90.49,75.0,85.61,72.32,Moderate
4,7.2,85.29,68.56,74.16,58.52,Moderate
1,7.19,73.38,65.53,75.02,54.36,Moderate
7,8.27,100.0,93.08,100.0,89.6,Low
8,7.43,77.93,80.12,90.58,73.63,Moderate
3,8.12,96.23,81.21,88.16,69.44,Low
8,5.9,68.51,81.77,97.19,74.3,Moderate
6,6.57,82.27,79.99,90.38,70.51,Moderate
8,7.9,93.73,85.18,85.94,74.35,Low
6,8.22,91.06,76.42,86.54,66.11,Low
2,8.27,92.46,98.0,100.0,83.2,Low
6,7.39,58.92,58.28,65.05,46.11,High
5,6.7,79.06,71.31,79.81,64.53,Moderate
7,8.22,97.78,80.83,98.91,72.44,Low
1,6.63,65.0,73.66,80.59,71.26,High
7,5.89,74.61,51.52,58.61,47.02,High
7,8.12,79.19,66.42,73.49,63.8,Moderate
1,9.01,88.79,90.66,96.16,79.61,Low
6,5.37,77.76,55.8,73.26,46.49,High
5,7.65,95.13,69.34,79.94,58.17,Moderate
7,8.52,87.7,94.51,100.0,83.97,Low
4,7.75,100.0,85.86,89.1,77.86,Low
4,9.93,100.0,98.0,100.0,91.41,Low
7,9.44,73.89,95.63,100.0,77.21,Low
8,5.88,71.57,62.27,62.68,54.44,High
2,7.53,79.38,80.65,91.46,70.59,Moderate
3,9.69,85.92,88.65,94.74,79.24,Low
1,9.01,86.64,87.16,93.45,78.56,Low
8,6.1,93.12,54.74,54.94,50.7,High
3,7.39,95.48,86.29,95.95,78.52,Low
6,5.66,76.86,60.64,68.91,46.84,High
6,7.33,93.82,71.29,79.72,65.3,Moderate
5,7.79,69.61,69.0,80.69,61.55,Moderate
6,7.07,65.46,72.68,81.23,59.48,Moderate
3,5.77,69.57,59.67,69.87,50.01,High
2,6.32,87.84,68.3,69.24,52.51,Moderate
4,5.88,79.56,52.8,55.59,49.34,High
8,7.99,90.78,81.3,91.93,73.91,Low
7,7.32,69.54,72.68,78.98,61.6,Moderate
4,7.32,74.09,74.61,95.0,62.56,Moderate
8,7.79,93.0,65.16,76.73,57.81,Moderate
8,7.91,72.3,63.9,68.14,53.55,Moderate
8,9.87,98.29,98.0,100.0,89.64,Low
2,7.13,50.0,61.55,71.04,53.91,High
1,5.7,74.78,72.2,80.97,60.38,High
3,6.94,83.27,70.55,74.45,66.21,Moderate
6,8.27,68.41,74.32,77.55,66.44,Moderate
7,7.21,87.83,73.38,82.91,67.12,Moderate
8,7.12,78.26,70.6,85.41,57.02,Moderate
3,8.15,50.0,60.37,70.2,51.78,High
1,7.47,61.01,66.52,69.09,61.34,High
4,10.0,81.23,88.25,93.6,86.47,Low
2,5.82,72.54,51.81,62.99,46.4,High
7,7.28,84.25,75.17,89.16,64.39,Moderate
6,9.75,71.32,82.77,86.84,73.88,Low
3,7.58,69.44,77.33,87.23,62.72,Moderate
4,7.21,90.91,79.66,85.2,73.98,Moderate
2,6.65,81.43,64.79,74.36,56.91,Moderate
5,9.0,69.97,71.35,77.01,64.04,Low
2,5.14,66.59,64.39,66.02,55.84,High
3,9.44,76.39,82.3,93.09,70.64,Low
1,8.9,66.6,86.01,96.85,79.77,Moderate
1,7.25,89.52,75.71,87.5,67.17,Low
8,6.84,77.74,71.6,80.69,66.91,High
4,8.62,63.34,83.2,91.43,70.58,Moderate
8,9.0,91.43,88.16,97.39,76.23,Low
6,6.99,67.3,68.4,72.48,60.87,High
1,7.19,82.42,71.19,81.03,65.53,Moderate
6,6.91,70.93,82.91,93.69,72.08,Moderate
8,8.71,75.18,89.97,91.33,86.61,Low
1,7.96,99.01,80.8,92.92,75.15,Low
5,6.53,74.25,57.36,62.39,56.01,High
5,8.16,100.0,74.29,79.25,68.19,Low
5,6.02,67.71,52.75,60.87,41.49,High
6,8.64,71.4,88.67,98.19,84.74,Moderate
8,6.55,54.55,60.55,67.96,52.47,High
7,6.61,97.54,63.01,69.54,53.92,Moderate
1,8.36,94.84,73.87,84.24,63.36,Low
1,8.87,94.22,77.39,94.44,67.67,Low
8,10.0,73.0,86.26,94.43,82.64,Low
8,8.29,100.0,91.98,99.1,82.65,Low
6,5.86,81.53,69.67,74.32,62.97,High
7,5.07,83.93,79.35,89.32,65.63,Moderate
1,6.26,73.17,69.33,74.9,51.63,High
3,6.87,64.61,71.82,75.25,66.6,High
2,6.49,58.71,54.77,60.87,39.43,High
4,9.27,72.81,79.28,86.62,68.83,Low
8,9.11,93.91,83.34,89.91,69.94,Low
4,7.34,93.47,67.95,77.24,58.95,Low
4,5.93,89.72,83.84,91.76,74.29,Moderate
6,7.15,82.44,68.0,77.35,56.09,Moderate
5,7.88,77.71,63.89,69.99,55.52,Moderate
4,5.87,79.78,60.32,66.96,50.02,High
3,6.4,91.6,70.06,74.73,55.24,Moderate
7,6.97,71.76,57.28,62.78,45.73,High
5,5.32,50.0,54.57,65.12,48.56,High
2,7.49,81.35,76.63,84.97,70.52,Moderate
3,10.0,100.0,98.0,100.0,92.83,Low
4,6.63,90.33,83.22,93.73,79.09,Moderate
4,6.72,71.03,74.93,77.05,63.58,Moderate
8,7.44,79.23,84.52,90.84,80.04,Moderate
1,9.06,96.31,79.83,90.34,67.85,Low
1,9.4,81.1,97.39,100.0,90.29,Low
4,9.72,91.23,94.47,100.0,91.12,Low
4,8.41,80.89,76.68,84.48,71.31,Low
4,6.93,90.16,61.11,71.05,56.81,Moderate
3,6.95,76.53,77.66,88.89,67.87,Moderate
3,8.01,65.4,76.75,80.34,60.13,Moderate
7,8.56,100.0,87.46,93.37,75.29,Low
6,8.16,87.6,73.19,80.29,63.65,Low
4,10.0,100.0,91.99,98.73,87.68,Low
3,8.51,82.16,78.91,89.49,65.49,Low
5,6.93,73.58,65.65,72.84,56.7,Moderate
4,8.26,68.56,75.82,85.02,65.51,Moderate
6,6.86,66.99,72.97,81.33,63.13,Moderate
6,7.62,80.97,77.33,89.87,70.67,Low
6,8.01,66.28,74.66,76.0,64.75,Moderate
4,7.81,100.0,96.44,97.92,87.9,Low
5,7.77,91.12,78.14,87.1,62.86,Low
7,8.5,86.13,83.65,90.01,73.91,Low
6,8.41,86.95,82.94,94.63,79.3,Low
6,7.68,91.38,75.8,83.86,69.17,Low
6,8.27,83.56,78.38,91.29,64.85,Low
8,9.69,80.1,98.0,100.0,95.0,Low
8,4.66,63.16,45.75,47.93,31.92,High
1,7.58,92.53,89.85,96.22,80.83,Low
4,8.54,79.42,91.71,100.0,83.65,Low
6,6.08,63.61,45.73,53.69,39.8,High
2,6.21,90.99,68.35,77.39,50.64,Moderate
7,6.46,84.49,68.32,73.14,52.52,Moderate
7,7.73,84.26,80.53,92.19,63.5,Low
5,7.35,86.03,71.44,82.66,61.68,Moderate
6,6.28,84.34,61.86,73.42,47.32,High
7,7.48,78.98,63.25,73.58,54.61,Moderate
2,9.27,91.12,94.19,100.0,80.77,Low
1,7.66,97.27,80.96,91.19,76.06,Low
1,8.06,70.88,67.84,91.31,55.35,Moderate
3,8.97,72.07,94.98,100.0,92.08,Low
8,9.24,69.47,98.0,100.0,88.23,Low
7,6.31,100.0,74.17,87.78,72.18,Moderate
5,8.33,77.86,84.93,92.26,76.76,Low
4,8.86,62.34,82.66,94.55,79.17,Low
5,9.09,80.28,80.02,88.09,67.99,Low
3,4.0,75.85,43.08,56.11,32.21,High
4,8.23,76.53,92.37,97.39,81.92,Low
7,7.08,89.69,70.41,76.63,62.13,Moderate
5,6.36,50.57,56.73,60.51,51.77,High
6,7.19,70.03,64.42,75.2,47.22,Moderate
1,8.79,85.25,74.05,84.3,65.27,Low
8,5.5,60.41,51.45,55.93,39.23,High
4,8.61,100.0,79.2,93.34,66.34,Low
7,8.16,100.0,71.07,78.0,58.68,Low
4,6.3,83.9,72.67,76.6,59.31,Moderate
7,7.63,85.92,73.88,82.25,71.04,Moderate
3,9.48,72.01,77.86,89.86,71.69,Low
5,5.61,55.92,51.27,54.38,39.01,High
7,5.83,71.02,59.76,64.53,57.98,High
8,5.69,97.56,59.35,72.69,52.09,High
3,7.87,87.29,70.53,79.72,65.67,Moderate
1,7.86,81.8,90.07,96.97,80.29,Low
4,7.79,100.0,75.5,83.79,70.03,Low
8,7.47,100.0,71.44,78.78,69.04,Low
1,8.76,80.85,93.79,98.96,90.86,Low
8,7.18,83.03,80.22,86.48,74.7,Moderate
3,8.61,88.41,81.51,87.59,73.26,Low
3,9.15,63.13,86.96,91.46,82.69,Low
2,6.92,100.0,72.95,87.28,63.69,Moderate
1,8.48,80.15,79.28,83.53,74.43,Low
2,7.7,73.86,73.79,85.12,65.44,Moderate
7,9.3,94.39,83.54,89.42,75.43,Low
1,7.66,76.78,71.18,85.67,60.61,Moderate
6,6.98,99.34,69.94,75.61,61.19,Moderate
2,8.83,79.93,90.8,100.0,85.03,Low
4,8.5,83.69,70.76,74.81,62.3,Low
7,6.76,70.07,65.98,71.42,58.92,High
1,4.61,98.71,57.63,65.82,55.46,High
2,8.79,100.0,94.82,100.0,88.3,Low
5,6.35,82.47,60.69,66.57,60.07,Moderate
1,6.98,83.07,83.27,97.67,78.66,Low
3,8.44,70.83,71.09,79.36,57.93,Moderate
7,7.44,60.06,78.91,86.2,68.8,Moderate
8,8.98,95.01,85.1,94.87,77.6,Low
8,8.17,70.02,70.23,74.15,57.98,Moderate
7,6.99,59.96,57.5,72.79,48.49,High
8,6.12,87.49,72.1,77.58,57.49,Moderate
4,7.04,94.04,72.85,82.2,65.99,Moderate
2,8.76,78.37,89.26,100.0,80.95,Low
7,8.07,60.01,65.91,75.26,64.51,Moderate
7,9.35,87.6,94.21,100.0,81.74,Low
2,9.3,76.22,85.39,90.09,75.87,Low
3,7.63,89.62,72.87,83.66,63.55,Moderate
6,9.66,79.31,79.62,80.39,67.87,Low
